reference_number,gazetted_name,alias_local_name,waterbody_type,waterbody_id_identifier,watershed_code_45_digit,twc_number,reach_number,site_number,survey_date,utm_method,utm_zone,utm_easting,utm_northing,no_visible_channel,dewatered_dry_int_channel
1,Tributary to Kerry Lake,198692_us,stream,00000CRKD,230-906800-97600-22400-00000-00000-00000-00000-00000-0,,,1,45540,GPS General,10,511723,6059291,visible channel,
2,Tributary to Kerry Lake,198692_ds,stream,00000CRKD,230-906800-97600-22400-00000-00000-00000-00000-00000-0,,,2,45540,GPS General,10,511958,6059396,visible channel,
3,Tributary to McLeod Lake,198669_us,stream,00000CARP,230-906800-77100-00000-00000-00000-00000-00000-00000-0,,,3,45540,GPS General,10,503377,6085994,visible channel,
4,Tributary to McLeod lake,198669_ds,stream,00000CARP,230-906800-77100-00000-00000-00000-00000-00000-00000-0,,,4,45540,GPS General,10,503242,6085755,visible channel,
5,Tributary to Missinka River,125180_us_ef1,stream,00000PARS,236-614900-20900-00000-00000-00000-00000-00000-00000-0,,,5,45541,GPS General,10,569668,6053049,visible channel,
6,Tributary to Missinka River,125180_ds_ef1,stream,00000PARS,236-614900-20900-00000-00000-00000-00000-00000-00000-0,,,6,45542,GPS General,10,569641,6053004,visible channel,
7,Tributary to Missinka River,125194_ds_ef1,stream,00000PARS,236-614900-05300-00000-00000-00000-00000-00000-00000-0,,,7,45542,GPS General,10,563319,6050496,visible channel,
8,Tributary to Missinka River,125179_ds_ef1,stream,00000PARS,236-614900-20900-03300-00000-00000-00000-00000-00000-0,,,8,45544,GPS General,10,570279,6052820,visible channel,
9,Tributary to Missinka River,125179_us_ef1,stream,00000PARS,236-614900-20900-03300-00000-00000-00000-00000-00000-0,,,9,45544,GPS General,10,570309,6052837,visible channel,
10,Tributary to Missinka River,125180_ds_ef2,stream,00000PARS,236-614900-20900-00000-00000-00000-00000-00000-00000-0,,,10,45544,GPS General,10,569666,6053002,visible channel,
11,Tributary to Table River,125231_ds_ef1,stream,00000PARS,236-450800-15400-00000-00000-00000-00000-00000-00000-0,,,11,45545,GPS General,10,549966,6065109,visible channel,
12,Tributary to Table River,125231_us_ef1,stream,00000PARS,236-450800-15400-00000-00000-00000-00000-00000-00000-0,,,12,45545,GPS General,10,549973,6065136,visible channel,
13,Tributary to Table River,125231_ds_ef2,stream,00000PARS,236-450800-15400-00000-00000-00000-00000-00000-00000-0,,,13,45545,GPS General,10,549935,6065103,visible channel,
14,Fern Creek,125261_ds_ef1,stream,00000PARS,236-358400-00000-00000-00000-00000-00000-00000-00000-0,,,14,45546,GPS General,10,534602,6067730,visible channel,
15,Fern Creek,125261_ds_ef2,stream,00000PARS,236-358400-00000-00000-00000-00000-00000-00000-00000-0,,,15,45546,GPS General,10,534597,6067747,visible channel,
16,Fern Creek,125261_us_ef1,stream,00000PARS,236-358400-00000-00000-00000-00000-00000-00000-00000-0,,,16,45546,GPS General,10,534601,6067775,visible channel,
17,Fern Creek,125261_us_ef2,stream,00000PARS,236-358400-00000-00000-00000-00000-00000-00000-00000-0,,,17,45546,GPS General,10,534620,6067795,visible channel,
18,Tributary to Kerry Lake,198692_ds_ef1,stream,00000CRKD,230-906800-97600-22400-00000-00000-00000-00000-00000-0,,,18,45547,GPS General,10,511775,6059323,visible channel,
19,Tributary to Kerry Lake,198692_ds_ef2,stream,00000CRKD,230-906800-97600-22400-00000-00000-00000-00000-00000-0,,,19,45547,GPS General,10,511757,6059306,visible channel,
20,Tributary to Kerry Lake,198692_us_ef1,stream,00000CRKD,230-906800-97600-22400-00000-00000-00000-00000-00000-0,,,20,45547,GPS General,10,511725,6059299,visible channel,
