reference_number,gazetted_name,local_name,waterbody_id,reach_number,site_number,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,haul_number_pass_number,ef_seconds,ef_length_m,ef_width_m,enclosure,voltage,frequency,pulse,make,model,gill_net_type,length_m,depth_m,mesh_size,set,date_in,time_in,date_out,time_out,soak_time,habitat,species,stage,age,total_number,min_length_mm,max_length_mm,fish_activity,comments
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,8.8,60,clear,electrofishing,,1,381,35,2.3,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,6,42,56,,
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,8.8,60,clear,electrofishing,,1,381,35,2.3,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,17,71,95,,
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,8.8,60,clear,electrofishing,,1,381,35,2.3,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,juvenile,,1,118,118,,
6,Tributary to Missinka River,125180_ds_ef1,00000PARS,0,6,8,60,clear,electrofishing,,1,803,30,3.3,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,16,37,65,,
6,Tributary to Missinka River,125180_ds_ef1,00000PARS,0,6,8,60,clear,electrofishing,,1,803,30,3.3,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,25,70,100,,
6,Tributary to Missinka River,125180_ds_ef1,00000PARS,0,6,8,60,clear,electrofishing,,1,803,30,3.3,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,juvenile,,3,120,135,,
7,Tributary to Missinka River,125194_ds_ef1,00000PARS,0,7,9.4,169,clear,electrofishing,,1,562,115,1.7,open,350,60,,other,halltech HT2000,,,,,,,,,,,,No Fish Caught,,,1,,,,
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,7.7,59,clear,electrofishing,,1,684,35,3.7,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,2,43,44,,
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,7.7,59,clear,electrofishing,,1,684,35,3.7,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,12,75,103,,
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,7.7,59,clear,electrofishing,,1,684,35,3.7,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,adult,,1,143,143,,
