reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,sampling_method,method_number,haul_number_pass_number,species,length_mm,weight_g,sex,maturity,age_structure,age_sample_number,age,genetic_structure,genetic_sample_number,comments
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,electrofishing,,1,Rainbow Trout,80,5.4,,,,,,,,NA. Pit Tag ID: 3DD.003E192AFD. Row ID: 350.
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,electrofishing,,1,Rainbow Trout,76,5.2,,,,,,,,NA. Pit Tag ID: 3DD.003E192AF2. Row ID: 351.
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,electrofishing,,1,Rainbow Trout,87,7.4,,,,,,,,NA. Pit Tag ID: 3DD.003E192AED. Row ID: 352.
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,electrofishing,,1,Rainbow Trout,71,4,,,,,,,,NA. Pit Tag ID: 3DD.003E192ADB. Row ID: 353.
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,electrofishing,,1,Rainbow Trout,87,7.3,,,,,,,,Potentially tagged in 2022. Pit Tag ID: 3DD.003E192AF8. Row ID: 354.
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,electrofishing,,1,Rainbow Trout,84,8,,,,,,,,NA. Pit Tag ID: 3DD.003E192B18. Row ID: 355.
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,electrofishing,,1,Rainbow Trout,79,4.5,,,,,,,,NA. Pit Tag ID: 3DD.003E192B13. Row ID: 356.
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,electrofishing,,1,Rainbow Trout,56,1.7,,,,,,,,
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,electrofishing,,1,Rainbow Trout,82,5.7,,,,,,,,NA. Pit Tag ID: 3DD.003E192ADD. Row ID: 357.
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,electrofishing,,1,Rainbow Trout,81,5.4,,,,,,,,NA. Pit Tag ID: 3DD.003E192AD2. Row ID: 358.
