reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
1,Tributary to Kerry Lake,198692_us,00000CRKD,0,1,3.7,2.5,3.5,2.6,7.8,,,4.02,metre tape,0.9,2,1,0.7,2.7,,,1.46,metre tape,0.3,0.15,0.25,0.19,0.2,0.25,,0.2233333333333333,metre tape,0.2,0.2,,,0.2,metre tape,7,5,3,5,0.05,clinometer,low,,7.4,recording meter,99,recording meter,8.2,pH meter (general),clear,abundant,sub-dominant,sub-dominant,trace,dominant,sub-dominant,sub-dominant,trace,41-70%,few,evenly distributed,mosses,undercut,fines,cobbles,mixed forest,mature forest,sloping,cobbles,gravels,shrubs,shrub,cobbles,gravels,55,11,cascade-pool,sinuous,Partially Coupled,frequently confined,,,,,10,511723,6059291,GPS General,Significant flow for this time of year. Patches of gravel were present suitable for spawning resident rainbow trout and bull trout. Rainbow trout were captured during sampling. Healthy riparian of mixed forest and shrub. The stream narrowed into a canyon roughly 150m upstream of Kerry FSR. Surveyed to approximately 300 m upstream of the Kerry FSR.          11:43:48
2,Tributary to Kerry Lake,198692_ds,00000CRKD,0,2,2.4,3.8,2.3,4,2.4,,,2.98,metre tape,2.4,1.8,0.8,1.5,0.4,,,1.3800000000000001,metre tape,0.5,0.28,0.32,0.5,,,,0.4,metre tape,0.28,0.25,,,0.265,metre tape,3,2,2.5,,0.025,clinometer,low,,7.4,recording meter,99,recording meter,8.2,pH meter (general),clear,abundant,sub-dominant,dominant,trace,sub-dominant,sub-dominant,sub-dominant,trace,41-70%,few,evenly distributed,mosses,overhanging bank,gravels,fines,mixed forest,mature forest,sloping,cobbles,gravels,shrubs,shrub,cobbles,gravels,,,cascade-pool,sinuous,Decoupled,frequently confined,,,,,10,511958,6059396,GPS General,Stream was surveyed from Kerry FSR downstream for approximately 230m. There were frequent deep pools providing cover for resident fish and gravels present for spawning. Lots of complex habitat providing cover for fish. Fish (~50mm) observed in pools.  Stream frequently goes subsurface starting around 200m downstream of the crossing. 14:27:16
3,Tributary to McLeod Lake,198669_us,00000CARP,0,3,2.8,5,3.9,4.4,3.6,2.3,,3.6666666666666674,metre tape,1.7,4.6,3.9,1.1,1.7,1.5,,2.4166666666666665,metre tape,0.3,0.4,0.4,0.4,0.35,0.45,,0.38333333333333336,metre tape,0.3,0.3,0.3,,0.3,metre tape,2,3,2.5,2.5,0.025,clinometer,low,,10.8,recording meter,430,recording meter,8.25,pH meter (general),clear,moderate,sub-dominant,sub-dominant,none,dominant,sub-dominant,sub-dominant,none,21-40%,few,evenly distributed,none,undercut,fines,gravels,shrubs,shrub,sloping,fines,gravels,wetland,not applicable,gravels,fines,15,8,riffle-pool,irregular wandering,Decoupled,occasionally confined,beaver dam,1.2,1,metre stick,10,503377,6085994,GPS General,Stream was surveyed for 550m upstream of the crossing. Abundant gravels throughout. Channel turns to predominantly fine substrates at the powerline corridor. Then there is a beaver dam (1.2 m high) backwater area approximately 100 m upstream of the transmission line. Numerous fish between 40 mm and 120 mm were observed up to the beaver dam and RB are documented upstream in FISS. Upstream of the dam impounded area the stream returns to predominantly gravel with frequent pools to 40 cm deep.          15:22:55
4,Tributary to McLeod lake,198669_ds,00000CARP,0,4,4.3,2.9,4,3.7,3.5,2.2,,3.433333333333333,metre tape,2,1.2,1.6,1.6,1.4,1.1,,1.4833333333333334,metre tape,0.35,0.2,0.3,0.25,,,,0.275,metre tape,0.25,0.35,0.35,,0.31666666666666665,metre tape,1.5,3,1,1,0.01625,clinometer,low,,11,recording meter,430,recording meter,8.3,pH meter (general),clear,abundant,sub-dominant,sub-dominant,trace,dominant,sub-dominant,sub-dominant,trace,71-90%,few,evenly distributed,mosses,V-shaped,gravels,fines,shrubs,shrub,undercut,cobbles,gravels,mixed forest,mature forest,cobbles,gravels,,,riffle-pool,irregular wandering,Partially Coupled,frequently confined,,,,,10,503242,6085755,GPS General,"Frequent pools with good cover present for overwintering fish. Gravels present for spawning. Beaver activity is visible. The stream was surveyed from the Hart highway down to McLeod lake, roughly 250m. Fish were observed the entire length of the survey. Overall good habitat.16:35:12"
5,Tributary to Missinka River,125180_us_ef1,00000PARS,0,5,,,,,,,,,metre tape,,,,,,,,,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,,,8.8,recording meter,60,recording meter,8.2,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,569668,6053049,GPS General,Set stop nets ~3m upstream of the culvert inlet. Fished from culvert up to a deep pool with a ~1m debris jam drop. Site length ~30-35m. See gps. 12:46:55
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,,,,,,,,,metre tape,,,,,,,,,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,,,7.7,recording meter,60,recording meter,8.4,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,569641,6053004,GPS General,"Electrofished with stop nets from approximately 35-40 m downstream, up to the culvert outlet. Sampled this site assuming it would be a reference site, but the culvert appeared to be embedded and perhaps not as much of a barrier as when inventory in 2019, therefore this site should not be a reference site. For this reason, we only measured the length of fish and did not pit tag or weigh.          10:21:16"
7,Tributary to Missinka River,125194_ds_ef1,00000PARS,0,7,1.9,2.8,2.2,1.5,3,,,2.28,metre tape,1.4,0.9,1.2,3.1,2,,,1.72,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,low,,9.4,recording meter,169,recording meter,7.7,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,563319,6050496,GPS General,Fish sampling site only. No fish were captured. This is a 2022 habitat confirmation site follow-up.  Some channel/wetted width estimates were taken at the bottom end of the site. Suspect subsurface and/or beaver dam complexes have fragmented this area - disconnecting the stream from the Missinka River at this time. 15:29:13
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,4.1,3.7,2,,,,,3.266666666666667,metre tape,3.9,3.1,4,,,,,3.6666666666666665,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,low,,7.7,recording meter,59,recording meter,8.3,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,570279,6052820,GPS General,Site is approximately 35 m long. The bottom of site is marked with pink flagging and labeled. The top of the site is under the bridge in the middle. Mostly riffle habitat with some pools. Three visual observations of fish that were not captured.                    11:24:14
9,Tributary to Missinka River,125179_us_ef1,00000PARS,0,9,,,3.1,2.9,3.9,,,3.3000000000000003,metre tape,,,3,2.4,1.7,,,2.3666666666666667,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,,,7.7,recording meter,59,recording meter,8.3,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,570309,6052837,GPS General,"Site is approximately 40 m long. The bottom of the site was in the middle of the bridge and the top of the site was at a small 40 cm high debris. The top of the site was marked and labelled with pink flagging. The form photos were not functioning properly, so see the camera roll for the upstream and downstream ends of the site.13:43:12"
10,Tributary to Missinka River,125180_ds_ef2,00000PARS,0,10,4.5,3.3,5,,,,,4.266666666666667,metre tape,3.2,1.7,5,,,,,3.3000000000000003,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,low,,8,recording meter,58,recording meter,7.7,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,569666,6053002,GPS General,"This site was fished a couple of days earlier (125180_ds_ef1) but fish were not tagged or weighed. The crew returned to the site to capture fish for tagging. Started fishing roughly 30m downstream of the culvert, below the big bend corner. The site had several deep pools to 40 cm deep. Initially fished only a 20 m section from upstream of the corner but then moved the bottom of the site downstream approximately 8 m to get more fish for tagging. 15:08:26"
