reference_number,gazetted_name,alias_local_name,waterbody_type,waterbody_id_identifier,watershed_code_45_digit,twc_number,reach_number,site_number,survey_date,utm_method,utm_zone,utm_easting,utm_northing,no_visible_channel,dewatered_dry_int_channel
1,Tributary to Kerry Lake,198692_us,stream,00000CRKD,230-906800-97600-22400-00000-00000-00000-00000-00000-0,,,1,2024-09-05,GPS General,10,511723,6059291,,
2,Tributary to Kerry Lake,198692_ds,stream,00000CRKD,230-906800-97600-22400-00000-00000-00000-00000-00000-0,,,2,2024-09-05,GPS General,10,511958,6059396,,
3,Tributary to McLeod Lake ,198669_us,stream,00000CARP,230-906800-77100-00000-00000-00000-00000-00000-00000-0,,,3,2024-09-05,GPS General,10,503377,6085994,,
4,Tributary to McLeod lake ,198669_ds,stream,00000CARP,230-906800-77100-00000-00000-00000-00000-00000-00000-0,,,4,2024-09-05,GPS General,10,503242,6085755,,
5,Tributary to Missinka River,125180_us_ef1,stream,00000PARS,236-614900-20900-00000-00000-00000-00000-00000-00000-0,,,5,2024-09-06,GPS General,10,569668,6053049,,
6,Tributary to Missinka,125180_ds_ef1,stream,00000PARS,236-614900-20900-00000-00000-00000-00000-00000-00000-0,,,6,2024-09-07,GPS General,10,569641,6053004,,
7,Tributary to Missinka River,125194_ds_ef1,stream,00000PARS,236-614900-05300-00000-00000-00000-00000-00000-00000-0,,,7,2024-09-07,GPS General,10,563319,6050496,,
8,Tributary to Missinka River,125179_ds_ef1,stream,00000PARS,236-614900-20900-03300-00000-00000-00000-00000-00000-0,,,8,2024-09-09,GPS General,10,570279,6052820,,
9,Tributary to Missinka River,125179_us_ef1,stream,00000PARS,236-614900-20900-03300-00000-00000-00000-00000-00000-0,,,9,2024-09-09,GPS General,10,570309,6052837,,
10,Tributary to Missinka River,125180_ds_ef2,stream,00000PARS,236-614900-20900-00000-00000-00000-00000-00000-00000-0,,,10,2024-09-09,GPS General,10,569666,6053002,,
11,Tributary to Table River,125231_ds_ef1,stream,00000PARS,236-450800-15400-00000-00000-00000-00000-00000-00000-0,,,11,2024-09-10,GPS General,10,549966,6065109,,
12,Tributary to Table River ,125231_us_ef1,stream,00000PARS,236-450800-15400-00000-00000-00000-00000-00000-00000-0,,,12,2024-09-10,GPS General,10,549973,6065136,,
13,Tributary to Table River ,125231_ds_ef2,stream,00000PARS,236-450800-15400-00000-00000-00000-00000-00000-00000-0,,,13,2024-09-10,GPS General,10,549935,6065103,,
14,Fern Creek,125261_ds_ef1,stream,00000PARS,236-358400-00000-00000-00000-00000-00000-00000-00000-0,,,14,2024-09-11,GPS General,10,534602,6067730,,
15,Fern Creek ,125261_ds_ef2,stream,00000PARS,236-358400-00000-00000-00000-00000-00000-00000-00000-0,,,15,2024-09-11,GPS General,10,534597,6067747,,
16,Fern Creek,125261_us_ef1,stream,00000PARS,236-358400-00000-00000-00000-00000-00000-00000-00000-0,,,16,2024-09-11,GPS General,10,534601,6067775,,
17,Fern Creek,125261_us_ef2,stream,00000PARS,236-358400-00000-00000-00000-00000-00000-00000-00000-0,,,17,2024-09-11,GPS General,10,534620,6067795,,
18,Tributary to Kerry Lake,198692_ds_ef1,stream,00000CRKD,230-906800-97600-22400-00000-00000-00000-00000-00000-0,,,18,2024-09-12,GPS General,10,511775,6059323,,
19,Tributary to Kerry Lake,198692_ds_ef2,stream,00000CRKD,230-906800-97600-22400-00000-00000-00000-00000-00000-0,,,19,2024-09-12,GPS General,10,511757,6059306,,
20,Tributary to Kerry Lake,198692_us_ef1,stream,00000CRKD,230-906800-97600-22400-00000-00000-00000-00000-00000-0,,,20,2024-09-12,GPS General,10,511725,6059299,,
